pert	PCID	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym
alvespimycin	73707383	SKB	trt_cp	up	0.848123812004308	6.614807446654298e-6	3.4253247389296445e-5	1.1798572221852224	85.15825491873396	2338	1.1798572221852224	2	1	HSP90AA1
MD-040	73707398	SKB	trt_cp	up	0.8470586833522935	6.658325916698076e-6	3.4253247389296445e-5	1.1783754812945075	91.14627887082978	2338	1.1783754812945075	2	1	NA
aprepitant	151165	SKB	trt_cp	down	-0.8276664715800781	7.4851768475298635e-6	3.4253247389296445e-5	-1.1673512476178058	-78.95637296834902	2338	-1.1673512476178058	2	1	CYP2C9; TACR1
rotenonic-acid	6708539	SKB	trt_cp	up	0.8326447802565716	7.267584497310972e-6	3.4253247389296445e-5	1.1583237536733062	82.24978614200171	2338	1.1583237536733062	2	1	NA
quinpirol-(-)	NotFound	SKB	trt_cp	up	0.828968064406256	7.4416583774860855e-6	3.4253247389296445e-5	1.1532089347181986	79.68349016253208	2338	1.1532089347181986	2	1	NA
SEW-2871	4077460	SKB	trt_cp	up	0.819290674052017	7.876843077923868e-6	3.4253247389296445e-5	1.1397463497279583	73.13943541488452	2338	1.1397463497279583	2	1	S1PR1
trazodone	5533	SKB	trt_cp	up	0.8169350957026139	7.963880018011424e-6	3.4253247389296445e-5	1.1364694152891075	78.22925577416595	2338	1.1364694152891075	2	1	ADRA1A; HRH1; HTR2B; SLC6A4
ST-4066738	1043828	SKB	trt_cp	down	-0.805438378592085	8.486101658536764e-6	3.4253247389296445e-5	-1.1360004644549195	-65.09837467921301	2338	-1.1360004644549195	2	1	NA
propylpyrazole	35027762	SKB	trt_cp	up	0.8141367569232133	8.09443542814276e-6	3.4253247389296445e-5	1.132576540012803	81.95038494439692	2338	1.132576540012803	2	1	ESR1
tyrphostin-AG-556	2059	SKB	trt_cp	down	-0.7908416617297049	9.09536023914966e-6	3.4253247389296445e-5	-1.1154130705885308	-75.10692899914457	2338	-1.1154130705885308	2	1	EGFR
vorinostat	5311	SKB	trt_cp	down	-0.7868198889878015	9.269434119324773e-6	3.4253247389296445e-5	-1.1097407115053683	-85.88537211291703	2338	-1.1097407115053683	2	1	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9
progesterone	5994	SKB	trt_cp	up	0.7951267924653358	8.921286358974546e-6	3.4253247389296445e-5	1.1061310570047191	79.04191616766467	2338	1.1061310570047191	2	1	AKR1C1; AKR1C2; AKR1D1; APOD; AR; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CATSPERB; CATSPERD; CATSPERG; CGA; CYP11B1; CYP17A1; CYP21A2; ESR1; GNAI1; GNAS; GNGT1; HRAS; HSD3B1; HSD3B2; HVCN1; KCNU1; LHB; NR1I2; NR3C1; NR3C2; OPRK1; ORM1; PAQR5; PGR; SERPINA6; SHBG; SRD5A1; SRD5A3; TRPC5
sphingosine	5280335	SKB	trt_cp	down	-0.7754851374307442	9.791655759850113e-6	3.4253247389296445e-5	-1.0937540347147663	-65.73994867408041	2338	-1.0937540347147663	2	1	ACER1; ACER2; ASAH1; ASAH2; ASAH2C; CERS1; CERS2; CERS3; CERS4; CERS5; CERS6; GALC; GBA; GLTP; LPIN1; LPIN2; LPIN3; PPAP2A; PPAP2B; PPAP2C; PSAP; PVR; SGPP1; SGPP2; SMPD1; SPHK1; SPHK2; TRPM3
anabasine	2181	SKB	trt_cp	up	0.7816251125375135	9.487026469543663e-6	3.4253247389296445e-5	1.0873483576523355	69.0333618477331	2338	1.0873483576523355	2	1	NA
benzonatate	7699	SKB	trt_cp	down	-0.7672561628435288	1.0139803520200338e-5	3.4253247389296445e-5	-1.0821477849984256	-70.40205303678357	2338	-1.0821477849984256	2	1	SCN5A
4,5,6,7-tetrabromobenzotriazole	1694	SKB	trt_cp	down	-0.7626296567836977	1.031387740037545e-5	3.4253247389296445e-5	-1.0756225024039225	-65.86826347305389	2338	-1.0756225024039225	2	1	AKT1; CHEK1; CSNK2A1; CSNK2A2; CSNK2B; GSK3B; LCK; MAP2K1; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; ROCK1; RPS6KB1; SGK1
trichostatin-a	444732	SKB	trt_cp	down	-0.7623191705167764	1.035739587041923e-5	3.4253247389296445e-5	-1.0751845886506122	-72.71171941830625	2338	-1.0751845886506122	2	1	HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9
hemado	4043357	SKB	trt_cp	down	-0.757316617874604	1.057498822063812e-5	3.4253247389296445e-5	-1.068128925205692	-72.3267750213858	2338	-1.068128925205692	2	1	ADORA1; ADORA2A; ADORA2B; ADORA3
calcitriol	21158442	SKB	trt_cp	up	0.7666220919253879	1.0139803520200338e-5	3.4253247389296445e-5	1.0664770862963555	65.48331907613344	2338	1.0664770862963555	2	1	CDA; CYP24A1; CYP27B1; CYP3A5; GC; HOXA10; VDR
bendroflumethiazide	2315	SKB	trt_cp	up	0.7616036524939734	1.035739587041923e-5	3.4253247389296445e-5	1.0594957447475777	78.6142001710864	2338	1.0594957447475777	2	1	CA1; CA4; KCNMA1; SLC12A1; SLC12A3
SKF-77434	11957703	SKB	trt_cp	up	0.7560880138523709	1.0618506690681898e-5	3.4253247389296445e-5	1.0518227305082066	48.887938408896495	2338	1.0518227305082066	2	1	DRD1
ST-013960	2300880	SKB	trt_cp	up	0.7484213129140433	1.0966654451032126e-5	3.4270795159475396e-5	1.0411572918724925	87.85286569717708	2338	1.0411572918724925	2	1	NA
chlorprothixene	667467	SKB	trt_cp	down	-0.7270183928742531	1.188054232195147e-5	3.4901812975110175e-5	-1.0253959259007386	-48.07527801539778	2338	-1.0253959259007386	2	1	CHRM1; CHRM4; CHRM5; DRD1; DRD3; HRH1; HTR2B
GDC-0879	11717001	SKB	trt_cp	up	0.7242779258799605	1.2011097732082803e-5	3.4901812975110175e-5	1.0075705098991654	75.83404619332764	2338	1.0075705098991654	2	1	BRAF; RAF1
MDL-28170	72430	SKB	trt_cp	down	-0.7066127362036123	1.2750911722827035e-5	3.4901812975110175e-5	-0.9966155299431039	-57.05731394354149	2338	-0.9966155299431039	2	1	CAPN1; CTSB; CTSL
terguride	11957722	SKB	trt_cp	down	-0.688972119538569	1.3534244183615044e-5	3.4901812975110175e-5	-0.9717349813407512	-52.395209580838326	2338	-0.9717349813407512	2	1	ADRA1A; ADRA2B; ADRA2C; DRD3; DRD4; HTR1B; HTR1D; HTR2B; PRL
TUL-XX023	54596143	SKB	trt_cp	down	-0.6850663762880684	1.3708318063790156e-5	3.4901812975110175e-5	-0.9662262717180907	-53.122326775021385	2338	-0.9662262717180907	2	1	NA
scopolamine-n-oxide	3000667	SKB	trt_cp	down	-0.6840136334589848	1.3751836533833936e-5	3.4901812975110175e-5	-0.9647414699324085	-54.83319076133447	2338	-0.9647414699324085	2	1	NA
mexiletine	4178	SKB	trt_cp	up	0.6810871177837008	1.388239194396527e-5	3.4901812975110175e-5	0.9474861376139911	60.607356715141144	2338	0.9474861376139911	2	1	AHR; CYP2B6; CYP2E1; KCNK2; KCNK3; SCN4A; SCN5A
pantoprazole	4679	SKB	trt_cp	up	0.6733135942914874	1.4230539704315496e-5	3.4901812975110175e-5	0.9366720940695236	55.90248075278016	2338	0.9366720940695236	2	1	ATP12A; ATP1A1; ATP4A; CYP2C9; CYP3A4
sinensetin	145659	SKB	trt_cp	up	0.662305070057629	1.4709242874797057e-5	3.4901812975110175e-5	0.9213577182212329	37.68177929854576	2338	0.9213577182212329	2	1	NA
fenobam	162834	SKB	trt_cp	down	-0.6441043710943068	1.5492575335585065e-5	3.4901812975110175e-5	-0.9084529421103584	-44.56800684345595	2338	-0.9084529421103584	2	1	GRM5
hydroquinidine	45479756	SKB	trt_cp	up	0.6368490264679587	1.5797204625891513e-5	3.4901812975110175e-5	0.8859448498965529	37.8956372968349	2338	0.8859448498965529	2	1	KMT2A; PSIP1
rimcazole	5072	SKB	trt_cp	down	-0.6248654092563211	1.6319426266416852e-5	3.4901812975110175e-5	-0.881318067283825	-44.26860564585115	2338	-0.881318067283825	2	1	SIGMAR1
L-erythro-MAPP	6610217	SKB	trt_cp	down	-0.6117474939315595	1.688516637698597e-5	3.4901812975110175e-5	-0.862816393788134	-50.85543199315654	2338	-0.862816393788134	2	1	NA
vicriviroc	73707391	SKB	trt_cp	up	0.6166586658668268	1.666757402676708e-5	3.4901812975110175e-5	0.8578572730161523	43.58426005132592	2338	0.8578572730161523	2	1	CCR5
clozapine	135398737	SKB	trt_cp	up	0.6165388400568763	1.666757402676708e-5	3.4901812975110175e-5	0.8576905787843984	42.64328485885372	2338	0.8576905787843984	2	1	ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; CALY; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; FOS; HRH1; HRH4; HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR3A; HTR5A; HTR6; HTR7; TH
carbetocin	73707428	SKB	trt_cp	up	0.6102089858285096	1.6972203317073528e-5	3.4901812975110175e-5	0.8488848783418311	38.366124893071	2338	0.8488848783418311	2	1	OXTR
JWH-015	4273754	SKB	trt_cp	down	-0.5992314186049572	1.7450906487555087e-5	3.4901812975110175e-5	-0.8451635630290304	-47.775876817792984	2338	-0.8451635630290304	2	1	CNR2; GPR55
GW-4064	9893571	SKB	trt_cp	down	-0.5990726942247507	1.7450906487555087e-5	3.4901812975110175e-5	-0.8449396961579855	-44.95295124037639	2338	-0.8449396961579855	2	1	NR1H4
D-609	45479729	SKB	trt_cp	up	0.5709492927132438	1.866942364878088e-5	3.660671303682525e-5	0.7942692292972002	41.74508126603935	2338	0.7942692292972002	2	1	NA
zuclopenthixol	5311507	SKB	trt_cp	up	0.548161813234996	1.967034845978778e-5	3.782759319189958e-5	0.7625687017830975	30.923866552609066	2338	0.7625687017830975	2	1	ADRA1A; DRD1; HRH1
oxalomalic-acid	439620	SKB	trt_cp	down	-0.520257119867846	2.0888865621013573e-5	3.94129540019124e-5	-0.7337772143896938	-30.068434559452523	2338	-0.7337772143896938	2	1	ACO1; IDH1
K784-3187	3689415	SKB	trt_cp	up	0.5008289204859779	2.171571655184536e-5	3.9720494476321264e-5	0.6967221183404387	30.538922155688624	2338	0.6967221183404387	2	1	NA
endecaphyllin-x	6710740	SKB	trt_cp	up	0.497531058832815	2.1846271961976696e-5	3.9720494476321264e-5	0.692134337836957	37.211291702309666	2338	0.692134337836957	2	1	NA
ST-001903	674282	SKB	trt_cp	down	-0.46083170215475666	2.345645535359649e-5	4.1886527417136594e-5	-0.6499628545121566	-20.82976903336185	2338	-0.6499628545121566	2	1	NA
TC-2559	9823180	SKB	trt_cp	down	-0.4506774514693171	2.3891640054034274e-5	4.191515798953381e-5	-0.6356411710644239	-24.935842600513258	2338	-0.6356411710644239	2	1	CHRNA4
XE-991	656732	SKB	trt_cp	up	0.28792880788679104	0.0014654627194892115	0.0025266598611882957	0.4005486918915634	19.54662104362703	2338	0.4005486918915634	2	1	KCNQ1; KCNQ2; KCNQ3; KCNQ4; KCNQ5
evoxine	673465	SKB	trt_cp	down	-0.20238095238095238	0.2022059381909781	0.3144514089953287	-0.28544065196330354	-21.471343028229256	2338	-0.28544065196330354	2	1	NA
pyroxamide	4996	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	HDAC1; HDAC3; HDAC6
HC-toxin	3571	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	HDAC1
huperzine-a	1253	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ACHE
sorafenib	406563	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ARAF; BRAF; CCNC; CDK8; CYP2B6; CYP2C8; CYP3A5; DDR1; DDR2; FLT1; FLT3; FLT4; HIPK4; KDR; KIT; MAPK15; MLTK; PDGFB; PDGFRA; PDGFRB; RAF1; RET; SLCO1B3; TIE1
raltitrexed	104758	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	FPGS; TYMS
epothilone	448013	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	TUBA1A; TUBA1B; TUBA1C; TUBA3C; TUBA4A; TUBA8; TUBB; TUBB1; TUBB3; TUBB4A; TUBB4B
crotamiton	688020	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
IRL-2500	4574540	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	EDNRB; HBA2; HBB
LY-456236	9926999	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	GRM1
amiodarone	2157	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ABCG2; ADRB1; CACNA1H; CACNA2D2; CYP2C8; CYP2C9; DIO3; KCNA7; KCNH2; PPARG; SCN5A; THRA; THRB
GSK-0660	46233311	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	PPARD
catechin	73160	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	BACE1; CA1; CA12; CA14; CA4; CA6; CA9; FASN; SCN5A
treprostinil	73707411	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	CYP2C8; P2RY12; PPARD; PTGDR; PTGER1; PTGER2; PTGER3; PTGER4; PTGIR
mead-acid	5312531	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
calcifediol	46705323	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	VDR
clofibric-acid	2797	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	PPARA
olvanil	5808649	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	CNR1; GPR119; TRPV1
ST-4029655	691928	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
calmidazolium	2531	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ATP2B1; PDE1A
APHA-compound-8	10379137	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	HDAC8
AS-703026	44187362	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	MAP2K1; MAP2K2
I-070759	24086306	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
procarbazine	9703	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	MAOA; MAOB
formoterol	23581795	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ADRB1; ADRB2; ADRB3
warfarin	54678486	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ARSE; CYP2C8; CYP2C9; CYP4F2; F3; F7; NR1I2; PROS1; RP11-196G11.1; VKORC1; VKORC1L1
midostaurin	9829523	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	AAK1; AURKC; BCR; BRSK1; BRSK2; CAMK2A; CAMK2D; CAMKK1; CAMKK2; CCNB1; CLK4; CUX1; EIF2AK4; FER; FGFR1OP; FGFR1OP2; FGR; FLT1; FLT3; FLT4; GRK1; GRK7; GSK3A; HCK; IKBKE; KDR; KIT; LIMK1; LRRK2; MAP3K10; MAP3K11; MAP3K19; MAP3K2; MAP3K3; MAP3K7; MAP3K9; MAP4K2; MAP4K4; MAP4K5; MARK1; MARK2; MARK3; MARK4; MELK; MINK1; MST4; MYLK; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; PDGFRA; PDGFRB; PHKG1; PKN1; PKN2; PLK4; PRKCA; PRKCB; PRKCE; PRKCG; PRKCH; PRKG1; PRKG2; PRPF4B; RET; ROS1; RPS6KA1; RPS6KA2; RPS6KA3; RPS6KA4; RPS6KA5; RPS6KA6; RPS6KB1; SIK2; SLK; SRPK1; SRPK3; STK10; STK3; STK4; TBK1; TNK1; TNK2; TSSK1B; TYK2; VEGFA; YES1; ZMYM2
NSC-693868	438981	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
SPB02303	2744062	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
rescinnamine	5280954	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ACE
decafluorobutane	9638	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	GRM5
ketorolac	3826	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	LTF; TF
TUL-XIX029	67243342	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
BAY-11-7082	5353431	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
dibenzepin	9419	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
NNC-63-0532	3906780	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	OPRL1
fasudil	3547	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	CDC42BPB; MYLK3; PKIA; PRKACA; PRKG1; PRKX; ROCK1; ROCK2
scoulerine	439654	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	ADRA1D
afatinib	22225683	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	EGF; EGFR; ERBB2; ERBB4; GAK
loreclezole	50988829	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	GABRB2; GABRB3
RAN-05	44229302	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
K784-3131	4381125	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	2	1	NA
